Exited,Scaled Score,France ,Spain ,Male,Scaled Age,Scaled Tenure,Scaled Balance ,NumOfProducts,Balance to Salary Ratio,Product to tenure Ratio ,Age Tenure,Engagement Score,Scaled Salary,IsActiveMember,Female,Germany,Age,Tenure,HasCrCard,Balance,EstimatedSalary,Year,CreditScore
1,(0.34),1,0,1,0.87 ,0.69 ,(1.23),1,0%,0.14,0.15,0%,(1.50),0,0,0,48,7,1,£0.00,"£13,921.82",2025,618
1,1.22 ,0,1,0,0.29 ,(0.70),(1.23),1,0%,0.33,0.07,0%,1.06 ,0,1,0,42,3,0,£0.00,"£161,242.99",2025,768
1,(0.70),0,0,0,1.44 ,0.34 ,0.63 ,1,202%,0.17,0.11,0%,(0.74),0,1,1,54,6,1,"£115,988.86","£57,553.98",2025,583
1,(0.49),0,1,0,0.29 ,1.03 ,0.24 ,1,63%,0.13,0.19,0%,0.78 ,0,1,0,42,8,0,"£91,611.12","£144,675.30",2025,603
1,0.03 ,1,0,0,2.01 ,(1.04),0.71 ,4,87%,2.00,0.03,200%,0.66 ,1,1,0,60,2,1,"£120,731.39","£138,160.11",2025,653
1,(1.42),1,0,1,(0.37),1.03 ,(1.23),1,0%,0.13,0.23,0%,(0.41),0,0,0,35,8,1,£0.00,"£76,640.29",2025,513
1,0.45 ,0,1,0,(0.37),0.69 ,(1.23),1,0%,0.14,0.20,0%,0.58 ,0,1,0,35,7,1,£0.00,"£133,570.43",2025,694
1,0.28 ,1,0,0,2.01 ,1.72 ,0.66 ,1,80%,0.10,0.17,0%,0.82 ,0,1,0,60,10,1,"£117,738.81","£147,489.76",2025,678
1,(0.90),1,0,0,(0.28),0.69 ,2.08 ,1,442%,0.14,0.19,14%,(0.93),1,1,0,36,7,1,"£206,329.65","£46,632.87",2025,564
1,0.59 ,1,0,0,1.91 ,(1.04),(1.23),1,0%,0.50,0.03,0%,1.38 ,0,1,0,59,2,1,£0.00,"£179,673.11",2025,708
1,(0.26),1,0,0,1.82 ,1.72 ,(0.36),1,28%,0.10,0.17,10%,1.60 ,1,1,0,58,10,1,"£53,772.73","£192,072.10",2025,625
1,(2.04),0,1,0,0.29 ,(0.00),(1.23),3,0%,0.60,0.12,0%,(0.30),0,1,0,42,5,1,£0.00,"£83,008.49",2025,453
1,0.11 ,0,1,0,0.29 ,1.38 ,(0.02),1,273%,0.11,0.21,0%,(1.26),0,1,0,42,9,1,"£75,361.44","£27,608.12",2025,661
1,(0.33),0,1,0,0.20 ,1.03 ,(1.23),3,0%,0.38,0.20,38%,(0.35),1,1,0,41,8,1,£0.00,"£79,866.73",2025,619
1,1.47 ,0,0,1,1.44 ,(1.04),0.84 ,1,692%,0.50,0.04,0%,(1.42),0,0,1,54,2,0,"£128,966.13","£18,633.40",2025,793
1,(0.21),0,0,1,(0.95),0.34 ,0.88 ,1,1409%,0.17,0.21,17%,(1.58),1,0,1,29,6,0,"£131,354.39","£9,324.31",2025,630
1,1.15 ,0,0,0,(0.47),1.03 ,0.35 ,1,51%,0.13,0.24,13%,1.59 ,1,1,1,34,8,0,"£98,592.88","£191,790.29",2025,762
1,1.00 ,1,0,0,0.58 ,(1.39),0.62 ,1,61%,1.00,0.02,0%,1.55 ,0,1,0,45,1,1,"£114,959.12","£189,362.39",2025,747
1,(1.44),1,0,0,0.67 ,(1.39),(1.23),1,0%,1.00,0.02,100%,0.27 ,1,1,0,46,1,1,£0.00,"£115,779.48",2025,511
